epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.792,1.83149,5.68202,0.01176,0.58878,0.12592,0.09884,0.05178,1.73953,3.63201,0.03054,0.000276699,0.000276699,0.000276699
2,218.325,1.71949,4.70397,0.01021,0.5247,0.26391,0.26965,0.13779,1.92845,2.84802,0.03805,0.000543389,0.000543389,0.000543389
3,312.731,1.7637,4.0386,0.01071,0.51493,0.31311,0.40634,0.21007,1.78888,2.55393,0.02715,0.000799084,0.000799084,0.000799084
4,407.25,1.75081,3.49266,0.01055,0.61947,0.43809,0.47396,0.2585,1.85903,2.50817,0.03431,0.00078352,0.00078352,0.00078352
5,500.235,1.74838,2.97638,0.01038,0.54623,0.52954,0.52459,0.28076,1.81839,2.21456,0.03091,0.000767026,0.000767026,0.000767026
6,594.468,1.76086,2.69201,0.01075,0.53495,0.52688,0.54817,0.28424,1.85454,2.45152,0.03148,0.000750533,0.000750533,0.000750533
7,687.921,1.74398,2.45702,0.01061,0.63157,0.59038,0.63814,0.35284,1.70012,2.10677,0.02558,0.00073404,0.00073404,0.00073404
8,783.241,1.71008,2.25953,0.01062,0.52112,0.62991,0.63445,0.36035,1.84163,1.83753,0.03494,0.000717546,0.000717546,0.000717546
9,877.419,1.7212,2.09369,0.00996,0.57462,0.62997,0.60534,0.33207,1.89107,1.9323,0.03464,0.000701053,0.000701053,0.000701053
10,968.75,1.71017,1.97648,0.01009,0.68666,0.62876,0.68646,0.39658,1.66431,1.87438,0.0265,0.000684559,0.000684559,0.000684559
11,1061.93,1.72903,1.93375,0.01039,0.69896,0.65374,0.71186,0.41689,1.98209,1.63046,0.03932,0.000668066,0.000668066,0.000668066
12,1153.29,1.69492,1.85026,0.0105,0.65062,0.66845,0.73813,0.41358,1.96856,1.98931,0.03946,0.000651573,0.000651573,0.000651573
13,1241.1,1.69926,1.74843,0.00999,0.66742,0.62755,0.68191,0.37326,1.84942,1.63196,0.03342,0.000635079,0.000635079,0.000635079
14,1329.13,1.68009,1.74523,0.01009,0.66133,0.68063,0.73235,0.4031,1.6824,1.55736,0.02192,0.000618586,0.000618586,0.000618586
15,1421.28,1.68937,1.67618,0.01033,0.81378,0.61487,0.75271,0.41463,1.90036,1.65224,0.03548,0.000602092,0.000602092,0.000602092
16,1517.76,1.6676,1.55523,0.0091,0.71035,0.71972,0.76473,0.42544,1.78812,1.8288,0.02757,0.000585599,0.000585599,0.000585599
17,1608.2,1.65817,1.54714,0.00957,0.71559,0.67766,0.73974,0.38981,1.72373,1.4169,0.02364,0.000569106,0.000569106,0.000569106
18,1704.56,1.64273,1.48722,0.00965,0.71712,0.67608,0.7656,0.41842,1.81458,1.66191,0.0291,0.000552612,0.000552612,0.000552612
19,1800.44,1.6422,1.43542,0.00932,0.71448,0.70125,0.75136,0.41687,1.93435,1.59337,0.03465,0.000536119,0.000536119,0.000536119
20,1891.79,1.64316,1.45404,0.00986,0.68726,0.72632,0.78789,0.44213,1.72411,1.60929,0.02417,0.000519625,0.000519625,0.000519625
21,1984.04,1.63533,1.38707,0.00932,0.7381,0.73726,0.79428,0.42367,1.88641,1.2609,0.03399,0.000503132,0.000503132,0.000503132
22,2080.42,1.63757,1.37604,0.00962,0.779,0.72457,0.80884,0.44204,1.79535,1.26492,0.02986,0.000486639,0.000486639,0.000486639
23,2178.15,1.63044,1.3662,0.00978,0.72048,0.70107,0.77037,0.42847,1.82429,1.36166,0.02972,0.000470145,0.000470145,0.000470145
24,2269.83,1.5921,1.30239,0.00927,0.72938,0.74598,0.8088,0.43062,1.93765,1.17064,0.03783,0.000453652,0.000453652,0.000453652
25,2362.99,1.59825,1.25586,0.00891,0.72954,0.731,0.78861,0.41981,1.73868,1.20318,0.02462,0.000437158,0.000437158,0.000437158
26,2454.78,1.61686,1.27456,0.00923,0.75598,0.75331,0.78276,0.42275,2.00753,1.24734,0.04109,0.000420665,0.000420665,0.000420665
27,2551.63,1.59017,1.24672,0.00904,0.72307,0.72141,0.8019,0.44165,1.92436,1.24948,0.03488,0.000404172,0.000404172,0.000404172
28,2645.36,1.61837,1.21756,0.00932,0.75278,0.69524,0.78927,0.43883,1.85142,1.11853,0.03046,0.000387678,0.000387678,0.000387678
29,2746,1.58928,1.18736,0.0089,0.7867,0.72515,0.82565,0.45221,1.86551,1.16424,0.03243,0.000371185,0.000371185,0.000371185
30,2838.82,1.57901,1.16895,0.00848,0.75417,0.74962,0.82076,0.45647,1.85219,1.30762,0.03221,0.000354691,0.000354691,0.000354691
31,2932.1,1.59922,1.17332,0.00872,0.79199,0.67691,0.80995,0.44543,1.87492,1.36344,0.03288,0.000338198,0.000338198,0.000338198
32,3026.99,1.54629,1.14056,0.00877,0.77643,0.75046,0.82867,0.44786,1.7977,1.20838,0.02849,0.000321705,0.000321705,0.000321705
33,3119.9,1.56823,1.12853,0.00844,0.76123,0.80202,0.82818,0.45703,1.85785,1.06297,0.0342,0.000305211,0.000305211,0.000305211
34,3214.87,1.54245,1.10369,0.00868,0.79086,0.69747,0.82655,0.45097,1.8741,1.21494,0.03403,0.000288718,0.000288718,0.000288718
35,3305.6,1.52435,1.06295,0.00857,0.74695,0.79559,0.84298,0.45154,1.89259,1.23387,0.03333,0.000272224,0.000272224,0.000272224
36,3395.52,1.53197,1.08576,0.00847,0.75845,0.75366,0.82122,0.45495,1.78366,1.19534,0.02721,0.000255731,0.000255731,0.000255731
37,3484.04,1.51153,1.09071,0.00894,0.78489,0.73145,0.83199,0.45975,1.90337,1.09667,0.03234,0.000239238,0.000239238,0.000239238
38,3573.15,1.52227,1.05068,0.00828,0.78244,0.74235,0.84332,0.47632,1.79994,1.16983,0.02832,0.000222744,0.000222744,0.000222744
39,3661.67,1.52917,1.0372,0.00798,0.76137,0.78848,0.84039,0.46219,1.84153,1.07068,0.03024,0.000206251,0.000206251,0.000206251
40,3766.07,1.50766,1.06216,0.00838,0.77675,0.73379,0.83166,0.4652,1.82552,1.1693,0.02892,0.000189757,0.000189757,0.000189757
41,3849.07,1.5086,0.8901,0.01045,0.79721,0.78176,0.84081,0.46327,1.85856,1.11891,0.02883,0.000173264,0.000173264,0.000173264
42,3933.93,1.48927,0.85356,0.00992,0.78053,0.80585,0.85216,0.46714,1.89349,1.07745,0.03145,0.000156771,0.000156771,0.000156771
43,4016.81,1.47895,0.85959,0.00986,0.78629,0.80023,0.84538,0.45879,1.83817,1.07934,0.02822,0.000140277,0.000140277,0.000140277
44,4098.4,1.46351,0.85805,0.0098,0.80516,0.76151,0.83827,0.45494,1.87883,1.09781,0.02951,0.000123784,0.000123784,0.000123784
45,4178.7,1.4627,0.81558,0.00954,0.77043,0.78665,0.83245,0.45166,1.82793,1.04288,0.02795,0.00010729,0.00010729,0.00010729
46,4258.93,1.44137,0.81858,0.01031,0.75626,0.78016,0.83339,0.45413,1.81503,1.19226,0.02738,9.0797e-05,9.0797e-05,9.0797e-05
47,4350.36,1.44473,0.83437,0.00949,0.74612,0.80557,0.837,0.45418,1.85809,1.03888,0.03112,7.43036e-05,7.43036e-05,7.43036e-05
48,4432.51,1.43255,0.82288,0.00927,0.76674,0.77577,0.83925,0.45794,1.77839,1.12192,0.02607,5.78102e-05,5.78102e-05,5.78102e-05
49,4514.67,1.4398,0.80048,0.009,0.74886,0.78962,0.8396,0.4589,1.75597,1.0354,0.02473,4.13168e-05,4.13168e-05,4.13168e-05
50,4595.41,1.42765,0.81571,0.00898,0.7551,0.7761,0.83941,0.45717,1.75685,1.02507,0.02512,2.48234e-05,2.48234e-05,2.48234e-05
